# We use 12-month moving average values in the fit				
#				
# Year	log( CO2 / 277.3 )	Volcanic	Temperature (C) 	Uncertainty (C, 1 sigma)
1764.1666666667	-0.0018824153	5.5493048308	8.4478598	0.5615638113
1764.25	-0.0018690147	5.3913268943	8.5020475	0.5687456605
1764.3333333333	-0.0018554185	5.237846283	8.6994123	0.5675866494
1764.4166666667	-0.0018416253	5.0887349668	8.7760649	0.5532637036
1764.5	-0.0018276341	4.9438685603	8.8374176	0.5519171902
1764.5833333333	-0.0018134438	4.8031262192	8.8516626	0.603323059
1764.6666666667	-0.0017990532	4.6663905393	8.5824289	0.5951216697
1764.75	-0.0017844612	4.5335474589	8.7249336	0.621140981
1764.8333333333	-0.0017696666	4.404486163	8.8634148	0.6242787526
1764.9166666667	-0.0017546684	4.2790989917	8.8130674	0.6580004593
1765	-0.0017394654	4.1572813498	8.8113003	0.6374717765
1765.0833333333	-0.0017240565	4.0389316197	8.7120609	0.6954454973
1765.1666666667	-0.0017084405	3.9239510767	8.7629576	0.6954133009
1765.25	-0.0016926164	3.8122438065	8.8068619	0.6705711562
1765.3333333333	-0.0016765829	3.7037166255	8.7565908	0.6643508766
1765.4166666667	-0.0016603391	3.5982790027	8.7961674	0.6560859557
1765.5	-0.0016438837	3.4958429843	8.6372499	0.6391560042
1765.5833333333	-0.0016272156	3.3963231205	8.3308706	0.5588604527
1765.6666666667	-0.0016103337	3.299636394	8.389533	0.5621543339
1765.75	-0.0015932369	3.205702151	8.311533	0.5536047212
1765.8333333333	-0.0015759241	3.1144420335	8.322217	0.5370140594
1765.9166666667	-0.001558394	3.0257799144	8.3935671	0.5269120835
1766	-0.0015406457	2.9396418338	8.5811386	0.521132058
1766.0833333333	-0.0015226779	2.8559559371	8.6791964	0.5070931471
1766.1666666667	-0.0015044896	2.7746524154	8.7375917	0.5104585764
1766.25	-0.0014860795	2.6956634471	8.8371706	0.5230099297
1766.3333333333	-0.0014674467	2.6189231415	8.8440847	0.5265778088
1766.4166666667	-0.00144859	2.5443674834	8.9539366	0.5223796866
1766.5	-0.0014295082	2.4719342801	8.9141083	0.5221059849
1766.5833333333	-0.0014102002	2.4015631096	8.7875557	0.5506174341
1766.6666666667	-0.001390665	2.3331952697	8.7988815	0.5461699506
1766.75	-0.0013709013	2.2667737294	8.8128386	0.5736936971
1766.8333333333	-0.0013509081	2.2022430815	8.6058159	0.5779920044
1766.9166666667	-0.0013306842	2.1395494959	8.5022821	0.5820246473
1767	-0.0013102285	2.0786406749	8.3643599	0.6288988873
1767.0833333333	-0.0012895399	2.0194658099	8.3337975	0.6269878542
1767.1666666667	-0.0012686173	1.9619755383	8.4050865	0.6323833981
1767.25	-0.0012474595	1.9061219033	8.3890047	0.6476655109
1767.3333333333	-0.0012260655	1.8518583128	8.4098177	0.6510390449
1767.4166666667	-0.001204434	1.7991395013	8.4158449	0.7056082822
1767.5	-0.0011825641	1.7479214921	8.3771849	0.71908222
1767.5833333333	-0.0011604545	1.6981615602	8.5136728	0.689447955
1767.6666666667	-0.0011381041	1.649818197	8.4245157	0.6215367756
1767.75	-0.0011155119	1.6028510755	8.1352777	0.5527946087
1767.8333333333	-0.0010926767	1.5572210168	8.1679068	0.5913421735
1767.9166666667	-0.0010695974	1.5128899572	8.1375437	0.5616578082
1768	-0.0010462728	1.4698209169	8.1190453	0.536057622
1768.0833333333	-0.0010227019	1.4279779685	8.157155	0.5484371126
1768.1666666667	-0.0009988835	1.3873262077	8.0454607	0.5357605563
1768.25	-0.0009748165	1.3478317236	7.9686904	0.524995378
1768.3333333333	-0.0009504998	1.3094615707	7.8858361	0.5308345771
1768.4166666667	-0.0009259322	1.2721837417	7.6660476	0.4861710093
1768.5	-0.0009011128	1.2359671401	7.8010669	0.478397248
1768.5833333333	-0.0008760403	1.2007815548	8.0396509	0.4726044387
1768.6666666667	-0.0008507135	1.1665976348	8.0669775	0.497969352
1768.75	-0.0008251316	1.1333868647	8.2187748	0.4908552817
1768.8333333333	-0.0007992931	1.1011215408	8.3938723	0.5217955467
1768.9166666667	-0.0007731972	1.0697747479	8.660326	0.6638686967
1769	-0.0007468426	1.0393203375	8.8781385	0.7016445606
1769.0833333333	-0.0007202283	1.0097329049	8.8798962	0.7257056115
1769.1666666667	-0.0006933531	0.9809877692	8.8899059	0.7569821346
1769.25	-0.0006662159	0.9530609516	8.9419518	0.7096261006
1769.3333333333	-0.0006388157	0.9259291564	8.7564106	0.6555175128
1769.4166666667	-0.0006111512	0.8995697507	8.6956224	0.6563250149
1769.5	-0.0005832213	0.8739607461	8.5478592	0.6214672944
1769.5833333333	-0.0005550251	0.8490807801	8.4508705	0.7354985892
1769.6666666667	-0.0005265613	0.8249090985	8.5449839	0.725239427
1769.75	-0.0004978288	0.8014255377	8.3091993	0.7673846346
1769.8333333333	-0.0004688265	0.7786105084	8.2643919	0.7750407414
1769.9166666667	-0.0004395534	0.7564449786	8.0693445	0.6200494727
1770	-0.0004100082	0.7349104584	7.892715	0.5476512712
1770.0833333333	-0.00038019	0.7139889843	7.7914734	0.4935058645
1770.1666666667	-0.0003500975	0.6936631038	7.7839475	0.4783541657
1770.25	-0.0003197297	0.6739158618	7.8427372	0.4720987977
1770.3333333333	-0.0002890854	0.6547307854	8.1320314	0.4794193242
1770.4166666667	-0.0002581636	0.6360918708	8.2692814	0.509014933
1770.5	-0.0002269631	0.61798357	8.4864473	0.6170549028
1770.5833333333	-0.0001954829	0.6003907774	8.659379	0.625894051
1770.6666666667	-0.0001637218	0.5832988174	8.3684359	0.6125065184
1770.75	-0.0001316787	0.5666934324	8.4798717	0.5825774878
1770.8333333333	-9.9352461243E-005	0.5505607704	8.2656355	0.5108220329
1770.9166666667	-6.6742055457E-005	0.534887374	8.3293457	0.4759944783
1771	-3.3846340147E-005	0.5196601687	8.4494534	0.4999689832
1771.0833333333	-6.64208701E-007	0.5048664525	8.5389576	0.5468891269
1771.1666666667	3.28054451E-005	0.4904938846	8.5785303	0.5789282145
1771.25	6.6563727075E-005	0.4765304758	8.5271511	0.5998797729
1771.3333333333	0.0001006117	0.4629645782	8.58358	0.6053362364
1771.4166666667	0.0001349506	0.4497848753	8.5366125	0.5838535591
1771.5	0.0001695814	0.436980373	8.5182514	0.5455473433
1771.5833333333	0.0002045052	0.4245403901	8.3361769	0.5150327563
1771.6666666667	0.0002397232	0.4124545493	8.4468374	0.5029720408
1771.75	0.0002752365	0.4007127689	8.5025902	0.4950988999
1771.8333333333	0.0003110461	0.3893052542	8.6864805	0.4994487642
1771.9166666667	0.0003471532	0.3782224893	8.5395889	0.5201872021
1772	0.0003835588	0.3674552292	8.459897	0.5058157871
1772.0833333333	0.0004202641	0.3569944921	8.5107193	0.4945234106
