# Two-year exponential half-life, and monthly interpolation
# Note: The exponential is a proxy for the environmental impact, the
# actual sulfate disspates more quickly than this timescale.
#
# Year    Volcanic
1756.875    4.9511731531
1756.9583333333 4.8102228644
1757.0416666667 4.6732851568
1757.125    4.5402458
1757.2083333333 4.4109938154
1757.2916666667 4.2854213839
1757.375    4.1634237557
1757.4583333333 4.0448991633
1757.5416666667 3.9297487358
1757.625    3.8178764176
1757.7083333333 3.7091888871
1757.7916666667 3.6035954795
1757.875    3.5010081114
1757.9583333333 3.4013412064
1758.0416666667 3.3045116248
1758.125    3.2104385934
1758.2083333333 3.1190436386
1758.2916666667 3.0302505208
1758.375    2.9439851706
1758.4583333333 2.8601756276
1758.5416666667 2.7787519795
1758.625    2.6996463046
1758.7083333333 2.6227926147
1758.7916666667 2.5481268002
1758.875    2.4755865765
1758.9583333333 2.4051114322
1759.0416666667 2.3366425784
1759.125    2.2701229
1759.2083333333 2.2054969077
1759.2916666667 2.1427106919
1759.375    2.0817118779
1759.4583333333 2.0224495816
1759.5416666667 1.9648743679
1759.625    1.9089382088
1759.7083333333 1.8545944435
1759.7916666667 1.8017977398
1759.875    1.7505040557
1759.9583333333 1.7006706032
1760.0416666667 1.6522558124
1760.125    1.6052192967
1760.2083333333 1.5595218193
1760.2916666667 1.5151252604
1760.375    1.4719925853
1760.4583333333 1.4300878138
1760.5416666667 1.3893759897
1760.625    1.3498231523
1760.7083333333 1.3113963074
1760.7916666667 1.2740634001
1760.875    1.2377932883
1760.9583333333 1.2025557161
1761.0416666667 1.1683212892
1761.125    1.13506145
1761.2083333333 1.1027484538
1761.2916666667 1.071355346
1761.375    1.0408559389
1761.4583333333 1.0112247908
1761.5416666667 13.7146331294
1761.625    13.3242041465
1761.7083333333 12.9448899187
1761.7916666667 12.5763740308
1761.875    12.2183490748
1761.9583333333 11.8705163943
1762.0416666667 11.5325858351
1762.125    11.2042755029
1762.2083333333 10.8853115285
1762.2916666667 10.5754278394
1762.375    10.2743659373
1762.4583333333 9.9818746832
1762.5416666667 9.6977100873
1762.625    9.4216351059
1762.7083333333 9.1534194433
1762.7916666667 8.8928393599
1762.875    8.6396774857
1762.9583333333 8.3937226386
1763.0416666667 8.1547696486
1763.125    7.9226191864
1763.2083333333 7.6970775971
1763.2916666667 7.4779567392
1763.375    7.2650738267
1763.4583333333 7.0582512774
1763.5416666667 6.8573165647
1763.625    6.6621020732
1763.7083333333 6.4724449594
1763.7916666667 6.2881870154
1763.875    6.1091745374
1763.9583333333 5.9352581972
1764.0416666667 5.7662929175
1764.125    5.6021377514
1764.2083333333 5.4426557643
1764.2916666667 5.2877139197
1764.375    5.1371829687
1764.4583333333 4.9909373416
1764.5416666667 4.8488550437
1764.625    4.7108175529
1764.7083333333 4.5767097216
1764.7916666667 4.4464196799
1764.875    4.3198387428
1764.9583333333 4.1968613193
1765.0416666667 4.0773848243
1765.125    3.9613095932
1765.2083333333 3.8485387986
1765.2916666667 3.7389783696
1765.375    3.6325369133
1765.4583333333 3.5291256387
1765.5416666667 3.4286582824
1765.625    3.3310510366
1765.7083333333 3.2362224797
1765.7916666667 3.1440935077
1765.875    3.0545872687
1765.9583333333 2.9676290986
1766.0416666667 2.8831464588
1766.125    2.8010688757
1766.2083333333 2.7213278821
1766.2916666667 2.6438569598
1766.375    2.5685914843
1766.4583333333 2.4954686708
1766.5416666667 2.4244275218
1766.625    2.3554087765
1766.7083333333 2.2883548608
1766.7916666667 2.22320984
1766.875    2.1599193714
1766.9583333333 2.0984306597
1767.0416666667 2.0386924121
1767.125    1.9806547966
1767.2083333333 1.9242693993
1767.2916666667 1.8694891848
1767.375    1.8162684567
1767.4583333333 1.7645628194
1767.5416666667 1.7143291412
1767.625    1.6655255183
1767.7083333333 1.6181112398
1767.7916666667 1.5720467538
1767.875    1.5272936343
1767.9583333333 1.4838145493
1768.0416666667 1.4415732294
1768.125    1.4005344379
1768.2083333333 1.3606639411
1768.2916666667 1.3219284799
1768.375    1.2842957422
1768.4583333333 1.2477343354
1768.5416666667 1.2122137609
1768.625    1.1777043882
1768.7083333333 1.1441774304
1768.7916666667 1.11160492
1768.875    1.0799596857
1768.9583333333 1.0492153298
1769.0416666667 1.0193462061
1769.125    0.9903273983
1769.2083333333 0.9621346996
1769.2916666667 0.9347445924
1769.375    0.9081342283
1769.4583333333 0.8822814097
1769.5416666667 0.8571645706
1769.625    0.8327627592
1769.7083333333 0.8090556199
1769.7916666667 0.7860233769
1769.875    0.7636468172
1769.9583333333 0.7419072746
1770.0416666667 0.7207866147
1770.125    0.7002672189
1770.2083333333 0.6803319705
1770.2916666667 0.66096424
1770.375    0.6421478711
1770.4583333333 0.6238671677
1770.5416666667 0.6061068805
1770.625    0.5888521941
1770.7083333333 0.5720887152
1770.7916666667 0.55580246
1770.875    0.5399798429
1770.9583333333 0.5246076649
1771.0416666667 0.509673103
1771.125    0.4951636991
1771.2083333333 0.4810673498
1771.2916666667 0.4673722962
1771.375    0.4540671142
1771.4583333333 0.4411407048
1771.5416666667 0.4285822853
1771.625    0.4163813796
1771.7083333333 0.40452781
1771.7916666667 0.3930116885
1771.875    0.3818234086
1771.9583333333 0.3709536373
1772.0416666667 0.3603933073
1772.125    0.3501336095
1772.2083333333 0.3401659853
1772.2916666667 0.33048212
1772.375    0.3210739355
1772.4583333333 0.3119335838
1772.5416666667 0.3030534402
1772.625    0.2944260971
1772.7083333333 0.2860443576
1772.7916666667 0.27790123
1772.875    0.2699899214
1772.9583333333 0.2623038325
1773.0416666667 0.2548365515
1773.125    0.2475818496
1773.2083333333 0.2405336749
1773.2916666667 0.2336861481
1773.375    0.2270335571
1773.4583333333 0.2205703524
1773.5416666667 0.2142911426
1773.625    0.2081906898
1773.7083333333 0.202263905
1773.7916666667 0.1965058442
1773.875    0.1909117043
1773.9583333333 0.1854768187
1774.0416666667 0.1801966537
1774.125    0.1750668047
1774.2083333333 0.1700829926
1774.2916666667 0.16524106
1774.375    0.1605369678
1774.4583333333 0.1559667919
1774.5416666667 0.1515267201
1774.625    0.1472130485
1774.7083333333 0.1430221788
1774.7916666667 0.138950615
1774.875    0.1349949607
1774.9583333333 0.1311519162
1775.0416666667 0.1274182758
1775.125    0.1237909248
1775.2083333333 0.1202668375
1775.2916666667 0.116843074
1775.375    0.1135167785
1775.4583333333 0.1102851762
1775.5416666667 0.1071455713
1775.625    0.1040953449
1775.7083333333 0.1011319525
1775.7916666667 0.0982529221
1775.875    0.0954558521
1775.9583333333 0.0927384093
1776.0416666667 0.0900983268
1776.125    0.0875334024
1776.2083333333 0.0850414963
1776.2916666667 0.08262053
1776.375    0.0802684839
1776.4583333333 0.077983396
1776.5416666667 0.0757633601
1776.625    0.0736065243
1776.7083333333 0.0715110894
1776.7916666667 0.0694753075
1776.875    0.0674974804
1776.9583333333 0.0655759581
1777.0416666667 0.0637091379
1777.125    0.0618954624
1777.2083333333 0.0601334187
1777.2916666667 0.058421537
1777.375    0.0567583893
1777.4583333333 0.0551425881
1777.5416666667 0.0535727857
1777.625    0.0520476724
1777.7083333333 0.0505659762
1777.7916666667 0.0491264611
1777.875    0.0477279261
1777.9583333333 0.0463692047
1778.0416666667 0.0450491634
1778.125    0.0437667012
1778.2083333333 0.0425207482
1778.2916666667 0.041310265
1778.375    0.0401342419
1778.4583333333 0.038991698
1778.5416666667 0.03788168
1778.625    0.0368032621
1778.7083333333 0.0357555447
1778.7916666667 0.0347376537
1778.875    0.0337487402
1778.9583333333 0.0327879791
1779.0416666667 0.0318545689
1779.125    0.0309477312
1779.2083333333 0.0300667094
1779.2916666667 0.0292107685
1779.375    0.0283791946
1779.4583333333 0.0275712941
1779.5416666667 0.0267863928
1779.625    0.0260238362
1779.7083333333 0.0252829881
1779.7916666667 0.0245632305
1779.875    0.023863963
1779.9583333333 0.0231846023
1780.0416666667 0.0225245817
1780.125    0.0218833506
1780.2083333333 0.0212603741
1780.2916666667 0.0206551325
1780.375    0.020067121
1780.4583333333 0.019495849
1780.5416666667 0.01894084
1780.625    0.0184016311
1780.7083333333 0.0178777724
1780.7916666667 0.0173688269
1780.875    0.0168743701
1780.9583333333 0.0163939895
1781.0416666667 0.0159272845
1781.125    0.0154738656
1781.2083333333 0.0150333547
1781.2916666667 0.0146053843
1781.375    0.0141895973
1781.4583333333 0.013785647
1781.5416666667 0.0133931964
1781.625    0.0130119181
1781.7083333333 0.0126414941
1781.7916666667 0.0122816153
1781.875    0.0119319815
1781.9583333333 0.0115923012
1782.0416666667 0.0112622909
1782.125    0.0109416753
1782.2083333333 0.010630187
1782.2916666667 0.0103275662
1782.375    0.0100335605
