# Berkeley Interpolated
#
# Year    CO2 (ppm)
1746.5416666667 276.6956806762
1746.625    276.6947244705
1746.7083333333 276.6937686808
1746.7916666667 276.6928133074
1746.875    276.6918583504
1746.9583333333 276.69090381
1747.0416666667 276.6899496865
1747.125    276.68899598
1747.2083333333 276.6880426906
1747.2916666667 276.6870898187
1747.375    276.6861373643
1747.4583333333 276.6851853277
1747.5416666667 276.684233709
1747.625    276.6832825085
1747.7083333333 276.6823317262
1747.7916666667 276.6813813625
1747.875    276.6804314175
1747.9583333333 276.6794818914
1748.0416666667 276.6785327844
1748.125    276.6775840966
1748.2083333333 276.6766358282
1748.2916666667 276.6756879795
1748.375    276.6747405507
1748.4583333333 276.6737935418
1748.5416666667 276.6728469532
1748.625    276.6719007849
1748.7083333333 276.6709550373
1748.7916666667 276.6700097104
1748.875    276.6690648044
1748.9583333333 276.6681203196
1749.0416666667 276.6671762561
1749.125    276.6662326142
1749.2083333333 276.6652893939
1749.2916666667 276.6643465956
1749.375    276.6634042193
1749.4583333333 276.6624622654
1749.5416666667 276.6615207338
1749.625    276.6605796249
1749.7083333333 276.6596389389
1749.7916666667 276.6586986759
1749.875    276.6577588361
1749.9583333333 276.6568194197
1750.0416666667 276.6558804334
1750.125    276.6549420347
1750.2083333333 276.6540045317
1750.2916666667 276.653068239
1750.375    276.6521334713
1750.4583333333 276.6512005433
1750.5416666667 276.6502697696
1750.625    276.6493414649
1750.7083333333 276.6484159437
1750.7916666667 276.6474935209
1750.875    276.6465745111
1750.9583333333 276.6456592289
1751.0416666667 276.6447479889
1751.125    276.6438411059
1751.2083333333 276.6429388945
1751.2916666667 276.6420416693
1751.375    276.6411497451
1751.4583333333 276.6402634364
1751.5416666667 276.639383058
1751.625    276.6385089245
1751.7083333333 276.6376413505
1751.7916666667 276.6367806508
1751.875    276.6359271399
1751.9583333333 276.6350811326
1752.0416666667 276.6342429435
1752.125    276.6334128873
1752.2083333333 276.6325912786
1752.2916666667 276.631778432
1752.375    276.6309746623
1752.4583333333 276.6301802841
1752.5416666667 276.6293956121
1752.625    276.6286209609
1752.7083333333 276.6278566452
1752.7916666667 276.6271029797
1752.875    276.6263602789
1752.9583333333 276.6256288576
1753.0416666667 276.6249090305
1753.125    276.6242011121
1753.2083333333 276.6235054172
1753.2916666667 276.6228222603
1753.375    276.6221519563
1753.4583333333 276.6214948197
1753.5416666667 276.6208511651
1753.625    276.6202213074
1753.7083333333 276.619605561
1753.7916666667 276.6190042407
1753.875    276.6184176611
1753.9583333333 276.617846137
1754.0416666667 276.6172899829
1754.125    276.6167495134
1754.2083333333 276.6162250434
1754.2916666667 276.6157168874
1754.375    276.6152253601
1754.4583333333 276.6147507762
1754.5416666667 276.6142934502
1754.625    276.613853697
1754.7083333333 276.613431831
